year,city,country,avg_temp
1743,Milan,Italy,3.31
1744,Milan,Italy,8.17
1745,Milan,Italy,0.18
1746,Milan,Italy,
1747,Milan,Italy,
1748,Milan,Italy,
1749,Milan,Italy,
1750,Milan,Italy,7.51
1751,Milan,Italy,7.77
1752,Milan,Italy,2.65
1753,Milan,Italy,6.83
1754,Milan,Italy,6.53
1755,Milan,Italy,6.27
1756,Milan,Italy,6.61
1757,Milan,Italy,6.30
1758,Milan,Italy,5.97
1759,Milan,Italy,7.14
1760,Milan,Italy,7.15
1761,Milan,Italy,6.99
1762,Milan,Italy,6.69
1763,Milan,Italy,6.48
1764,Milan,Italy,6.93
1765,Milan,Italy,6.73
1766,Milan,Italy,6.54
1767,Milan,Italy,6.15
1768,Milan,Italy,6.23
1769,Milan,Italy,6.67
1770,Milan,Italy,6.56
1771,Milan,Italy,6.79
1772,Milan,Italy,8.13
1773,Milan,Italy,6.65
1774,Milan,Italy,6.57
1775,Milan,Italy,7.18
1776,Milan,Italy,6.62
1777,Milan,Italy,6.33
1778,Milan,Italy,7.16
1779,Milan,Italy,7.55
1780,Milan,Italy,7.09
1781,Milan,Italy,7.57
1782,Milan,Italy,6.11
1783,Milan,Italy,7.27
1784,Milan,Italy,6.26
1785,Milan,Italy,6.26
1786,Milan,Italy,6.34
1787,Milan,Italy,7.05
1788,Milan,Italy,7.24
1789,Milan,Italy,6.28
1790,Milan,Italy,7.15
1791,Milan,Italy,7.30
1792,Milan,Italy,6.91
1793,Milan,Italy,7.08
1794,Milan,Italy,7.57
1795,Milan,Italy,6.53
1796,Milan,Italy,6.79
1797,Milan,Italy,7.18
1798,Milan,Italy,6.88
1799,Milan,Italy,5.65
1800,Milan,Italy,7.17
1801,Milan,Italy,7.21
1802,Milan,Italy,7.53
1803,Milan,Italy,6.62
1804,Milan,Italy,7.08
1805,Milan,Italy,5.50
1806,Milan,Italy,7.20
1807,Milan,Italy,6.95
1808,Milan,Italy,5.57
1809,Milan,Italy,6.36
1810,Milan,Italy,6.59
1811,Milan,Italy,7.59
1812,Milan,Italy,5.42
1813,Milan,Italy,6.27
1814,Milan,Italy,5.57
1815,Milan,Italy,6.45
1816,Milan,Italy,5.20
1817,Milan,Italy,6.51
1818,Milan,Italy,6.95
1819,Milan,Italy,7.00
1820,Milan,Italy,6.36
1821,Milan,Italy,6.65
1822,Milan,Italy,8.01
1823,Milan,Italy,6.31
1824,Milan,Italy,6.97
1825,Milan,Italy,7.28
1826,Milan,Italy,6.78
1827,Milan,Italy,6.54
1828,Milan,Italy,7.43
1829,Milan,Italy,5.44
1830,Milan,Italy,6.39
1831,Milan,Italy,6.83
1832,Milan,Italy,6.51
1833,Milan,Italy,6.77
1834,Milan,Italy,7.59
1835,Milan,Italy,6.18
1836,Milan,Italy,6.15
1837,Milan,Italy,5.81
1838,Milan,Italy,5.72
1839,Milan,Italy,6.85
1840,Milan,Italy,6.19
1841,Milan,Italy,6.87
1842,Milan,Italy,6.19
1843,Milan,Italy,6.44
1844,Milan,Italy,6.38
1845,Milan,Italy,6.19
1846,Milan,Italy,7.46
1847,Milan,Italy,6.24
1848,Milan,Italy,6.46
1849,Milan,Italy,6.77
1850,Milan,Italy,5.88
1851,Milan,Italy,5.85
1852,Milan,Italy,6.81
1853,Milan,Italy,5.79
1854,Milan,Italy,6.36
1855,Milan,Italy,5.68
1856,Milan,Italy,6.52
1857,Milan,Italy,6.53
1858,Milan,Italy,5.78
1859,Milan,Italy,7.00
1860,Milan,Italy,5.38
1861,Milan,Italy,6.81
1862,Milan,Italy,7.28
1863,Milan,Italy,7.32
1864,Milan,Italy,5.99
1865,Milan,Italy,6.99
1866,Milan,Italy,7.05
1867,Milan,Italy,6.80
1868,Milan,Italy,7.21
1869,Milan,Italy,6.61
1870,Milan,Italy,6.19
1871,Milan,Italy,5.98
1872,Milan,Italy,7.14
1873,Milan,Italy,7.13
1874,Milan,Italy,6.52
1875,Milan,Italy,6.45
1876,Milan,Italy,6.65
1877,Milan,Italy,6.79
1878,Milan,Italy,6.42
